course,institution,cluster_number,cutoff_points,year
BACHELOR OF ARTS,CHUKA UNIVERSITY,1,25.798,2018
BACHELOR OF ARTS,CHUKA UNIVERSITY,1,26.729,2019
BACHELOR OF ARTS,CHUKA UNIVERSITY,1,28.419,2020
BACHELOR OF ARTS,CHUKA UNIVERSITY,1,25.974,2021
BACHELOR OF ARTS,CHUKA UNIVERSITY,1,28.566,2022
BACHELOR OF ARTS,CHUKA UNIVERSITY,1,23.714,2023
BACHELOR OF ARTS,CHUKA UNIVERSITY,1,24.851,2024
"BACHELOR OF ARTS (PSYCHOLOGY, SOCIOLOGY & POLITICAL SCIENCE)",MULTIMEDIA UNIVERSITY OF KENYA,1,24.456,2021
"BACHELOR OF ARTS (PSYCHOLOGY, SOCIOLOGY & POLITICAL SCIENCE)",MULTIMEDIA UNIVERSITY OF KENYA,1,26.207,2022
"BACHELOR OF ARTS (PSYCHOLOGY, SOCIOLOGY & POLITICAL SCIENCE)",MULTIMEDIA UNIVERSITY OF KENYA,1,22.449,2023
"BACHELOR OF ARTS (PSYCHOLOGY, SOCIOLOGY & POLITICAL SCIENCE)",MULTIMEDIA UNIVERSITY OF KENYA,1,22.851,2024
BACHELOR OF ARTS (WITH IT),TOM MBOYA UNIVERSITY,1,23.407,2018
BACHELOR OF ARTS (WITH IT),TOM MBOYA UNIVERSITY,1,25.498,2019
BACHELOR OF ARTS (WITH IT),TOM MBOYA UNIVERSITY,1,25.033,2020
BACHELOR OF ARTS (WITH IT),TOM MBOYA UNIVERSITY,1,22.926,2021
BACHELOR OF ARTS (WITH IT),TOM MBOYA UNIVERSITY,1,22.916,2022
BACHELOR OF ARTS (WITH IT),TOM MBOYA UNIVERSITY,1,23.729,2023
BACHELOR OF ARTS (WITH IT),TOM MBOYA UNIVERSITY,1,24.247,2024
BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE,TECHNICAL UNIVERSITY OF MOMBASA,2,39.265,2018
BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE,TECHNICAL UNIVERSITY OF MOMBASA,2,40.303,2019
BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE,TECHNICAL UNIVERSITY OF MOMBASA,2,41.075,2020
BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE,TECHNICAL UNIVERSITY OF MOMBASA,2,39.176,2021
BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE,TECHNICAL UNIVERSITY OF MOMBASA,2,40.571,2022
BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE,TECHNICAL UNIVERSITY OF MOMBASA,2,38.365,2023
BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE,TECHNICAL UNIVERSITY OF MOMBASA,2,39.021,2024
BACHELOR OF ARCHITECTURE,KENYATTA UNIVERSITY,2,42.867,2018
BACHELOR OF ARCHITECTURE,KENYATTA UNIVERSITY,2,43.264,2019
BACHELOR OF ARCHITECTURE,KENYATTA UNIVERSITY,2,42.629,2020
BACHELOR OF ARCHITECTURE,KENYATTA UNIVERSITY,2,42.315,2021
BACHELOR OF ARCHITECTURE,KENYATTA UNIVERSITY,2,42.407,2022
BACHELOR OF ARCHITECTURE,KENYATTA UNIVERSITY,2,41.494,2023
BACHELOR OF ARCHITECTURE,KENYATTA UNIVERSITY,2,41.119,2024
BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,64,39.92,2018
BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,64,42.967,2019
BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,64,43.16,2020
BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,64,42.016,2021
BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,64,42.528,2022
BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,64,41.803,2023
BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,64,41.779,2024
BACHELOR OF QUANTITY SURVEYING,TECHNICAL UNIVERSITY OF MOMBASA,3,34.023,2024
BACHELOR OF QUANTITY SURVEYING,UNIVERSITY OF NAIROBI,3,42.061,2018
BACHELOR OF QUANTITY SURVEYING,UNIVERSITY OF NAIROBI,3,42.992,2019
BACHELOR OF QUANTITY SURVEYING,UNIVERSITY OF NAIROBI,3,42.081,2020
BACHELOR OF QUANTITY SURVEYING,UNIVERSITY OF NAIROBI,3,42.006,2021
BACHELOR OF QUANTITY SURVEYING,UNIVERSITY OF NAIROBI,3,40.993,2022
BACHELOR OF QUANTITY SURVEYING,UNIVERSITY OF NAIROBI,3,40.232,2023
BACHELOR OF ACTUARIAL SCIENCE,KCA UNIVERSITY,7,31.57,2018
BACHELOR OF ACTUARIAL SCIENCE,KCA UNIVERSITY,7,33.298,2019
BACHELOR OF ACTUARIAL SCIENCE,KCA UNIVERSITY,7,26.647,2020
BACHELOR OF ACTUARIAL SCIENCE,KCA UNIVERSITY,7,26.208,2021
BACHELOR OF ACTUARIAL SCIENCE,KCA UNIVERSITY,7,19.914,2022
BACHELOR OF ACTUARIAL SCIENCE,KCA UNIVERSITY,7,18.831,2023
BACHELOR OF SCIENCE (ACTUARIAL SCIENCE WITH IT),JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,7,28.99,2018
BACHELOR OF SCIENCE (ACTUARIAL SCIENCE WITH IT),JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,7,25.614,2019
BACHELOR OF SCIENCE (ACTUARIAL SCIENCE WITH IT),JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,7,24.351,2020
BACHELOR OF SCIENCE (ACTUARIAL SCIENCE WITH IT),JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,7,20.1,2021
BACHELOR OF SCIENCE (ACTUARIAL SCIENCE WITH IT),JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,7,19.914,2022
BACHELOR OF SCIENCE (ACTUARIAL SCIENCE WITH IT),JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,7,18.831,2023
BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),GARISSA UNIVERSITY,7,23.342,2018
BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),GARISSA UNIVERSITY,7,23.847,2019
BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),GARISSA UNIVERSITY,7,20.048,2020
BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),GARISSA UNIVERSITY,7,20.1,2021
BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),GARISSA UNIVERSITY,7,19.914,2022
BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),GARISSA UNIVERSITY,7,18.831,2023
BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),EGERTON UNIVERSITY,7,31.992,2024
BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,CHUKA UNIVERSITY,7,34.5,2018
BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,CHUKA UNIVERSITY,7,34.304,2019
BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,CHUKA UNIVERSITY,7,31.143,2020
BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,CHUKA UNIVERSITY,7,30.784,2021
BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,CHUKA UNIVERSITY,7,22.714,2022
BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,CHUKA UNIVERSITY,7,25.416,2023
BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,CHUKA UNIVERSITY,7,28.461,2024
