code,title,slug,description,qualification,career,institution,duration_years,career_code
CHUKA-1000,BACHELOR OF ARTS,bachelor-of-arts-chuka,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Arts, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in ,CHUKA UNIVERSITY,4,CAR-100
TMU-1011,BACHELOR OF ARTS (WITH IT),bachelor-of-arts-with-it-tmu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Arts (With It), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (With It),TOM MBOYA UNIVERSITY,4,CAR-101
TUM-1018,BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE,bachelor-of-architectural-studiesbachelor-of-architecture-tum,"A rigorous 5-year program leading to a degree qualification in Bachelor Of Architectural Studies/Bachelor Of Architecture, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Architectural Studies/ Architecture,TECHNICAL UNIVERSITY OF MOMBASA,5,CAR-102
KU-1025,BACHELOR OF ARCHITECTURE,bachelor-of-architecture-ku,"A rigorous 5-year program leading to a degree qualification in Bachelor Of Architecture, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Architecture,KENYATTA UNIVERSITY,5,CAR-102
JKUAT-1032,BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE,bachelor-of-architectural-studiesbachelor-of-architecture-jkuat,"A rigorous 5-year program leading to a degree qualification in Bachelor Of Architectural Studies/Bachelor Of Architecture, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Architectural Studies/ Architecture,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,5,CAR-102
TUM-1039,BACHELOR OF QUANTITY SURVEYING,bachelor-of-quantity-surveying-tum,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Quantity Surveying, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Quantity Surveying,TECHNICAL UNIVERSITY OF MOMBASA,4,CAR-103
UON-1040,BACHELOR OF QUANTITY SURVEYING,bachelor-of-quantity-surveying-uon,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Quantity Surveying, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Quantity Surveying,UNIVERSITY OF NAIROBI,4,CAR-103
KCA-1046,BACHELOR OF ACTUARIAL SCIENCE,bachelor-of-actuarial-science-kca,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Actuarial Science, designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in Actuarial Science,KCA UNIVERSITY,4,CAR-104
JOOUS-1052,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE WITH IT),bachelor-of-science-actuarial-science-with-it-joous,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Actuarial Science With It), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Actuarial Science With It),JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,4,CAR-104
GU-1058,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),bachelor-of-science-actuarial-science-gu,"A rigorous 4-year program leading to a degree qualification in Bachelor Of Science (Actuarial Science), designed to equip students with practical skills and competency requirements for global marketplace roles.",DEGREE,Expert in (Actuarial Science),GARISSA UNIVERSITY,4,CAR-104
