course_ref,subject_ref,requirement_type,minimum_grade
CHUKA-1000,ENG,COMPULSORY,C+
CHUKA-1000,KIS,ALTERNATIVE,C+
CHUKA-1000,HIS,ALTERNATIVE,C+
CHUKA-1000,GEO,OPTIONAL,C
TMU-1011,ENG,COMPULSORY,C+
TMU-1011,KIS,ALTERNATIVE,C+
TMU-1011,MATH101,COMPULSORY,C+
TMU-1011,COMP067,ALTERNATIVE,C+
TMU-1011,PHY,OPTIONAL,C
TUM-1018,ENG,COMPULSORY,C+
TUM-1018,KIS,ALTERNATIVE,C+
TUM-1018,MATH101,COMPULSORY,C+
TUM-1018,PHY,COMPULSORY,C+
TUM-1018,COMP067,OPTIONAL,C
KU-1025,ENG,COMPULSORY,C+
KU-1025,KIS,ALTERNATIVE,C+
KU-1025,MATH101,COMPULSORY,C+
KU-1025,PHY,COMPULSORY,C+
KU-1025,COMP067,OPTIONAL,C
JKUAT-1032,ENG,COMPULSORY,C+
JKUAT-1032,KIS,ALTERNATIVE,C+
JKUAT-1032,MATH101,COMPULSORY,C+
JKUAT-1032,PHY,COMPULSORY,C+
JKUAT-1032,COMP067,OPTIONAL,C
TUM-1039,ENG,COMPULSORY,C+
TUM-1039,KIS,ALTERNATIVE,C+
TUM-1039,MATH101,COMPULSORY,C+
TUM-1039,PHY,COMPULSORY,C+
TUM-1039,COMP067,OPTIONAL,C
UON-1040,ENG,COMPULSORY,C+
UON-1040,KIS,ALTERNATIVE,C+
UON-1040,MATH101,COMPULSORY,C+
UON-1040,PHY,COMPULSORY,C+
UON-1040,COMP067,OPTIONAL,C
KCA-1046,ENG,COMPULSORY,C+
KCA-1046,KIS,ALTERNATIVE,C+
KCA-1046,MATH101,COMPULSORY,B-
KCA-1046,BST,ALTERNATIVE,C+
JOOUS-1052,ENG,COMPULSORY,C+
JOOUS-1052,KIS,ALTERNATIVE,C+
JOOUS-1052,MATH101,COMPULSORY,B-
JOOUS-1052,BST,ALTERNATIVE,C+
GU-1058,ENG,COMPULSORY,C+
GU-1058,KIS,ALTERNATIVE,C+
GU-1058,MATH101,COMPULSORY,B-
GU-1058,BST,ALTERNATIVE,C+
EU-1064,ENG,COMPULSORY,C+
EU-1064,KIS,ALTERNATIVE,C+
EU-1064,MATH101,COMPULSORY,B-
EU-1064,BST,ALTERNATIVE,C+
CHUKA-1065,ENG,COMPULSORY,C+
CHUKA-1065,KIS,ALTERNATIVE,C+
CHUKA-1065,MATH101,COMPULSORY,B-
CHUKA-1065,BST,ALTERNATIVE,C+
TMU-1072,ENG,COMPULSORY,C+
TMU-1072,KIS,ALTERNATIVE,C+
TMU-1072,MATH101,COMPULSORY,B-
TMU-1072,BST,ALTERNATIVE,C+
MSU-1078,ENG,COMPULSORY,C+
MSU-1078,KIS,ALTERNATIVE,C+
MSU-1078,MATH101,COMPULSORY,B-
MSU-1078,BST,ALTERNATIVE,C+
UOE-1079,ENG,COMPULSORY,C+
UOE-1079,KIS,ALTERNATIVE,C+
UOE-1079,MATH101,COMPULSORY,C
UOE-1079,GEO,OPTIONAL,C
CHUKA-1085,ENG,COMPULSORY,C+
CHUKA-1085,KIS,ALTERNATIVE,C+
CHUKA-1085,MATH101,COMPULSORY,C
CHUKA-1085,GEO,OPTIONAL,C
UON-1091,ENG,COMPULSORY,C+
UON-1091,KIS,ALTERNATIVE,C+
UON-1091,MATH101,COMPULSORY,C
UON-1091,GEO,OPTIONAL,C
TMU-1092,ENG,COMPULSORY,C+
TMU-1092,KIS,ALTERNATIVE,C+
TMU-1092,MATH101,COMPULSORY,C+
TMU-1092,COMP067,ALTERNATIVE,C+
TMU-1092,PHY,OPTIONAL,C
RU-1098,ENG,COMPULSORY,C+
RU-1098,KIS,ALTERNATIVE,C+
RU-1098,MATH101,COMPULSORY,C+
RU-1098,BST,ALTERNATIVE,C+
CHUKA-1104,ENG,COMPULSORY,C+
CHUKA-1104,KIS,ALTERNATIVE,C+
CHUKA-1104,MATH101,COMPULSORY,C+
CHUKA-1104,BST,ALTERNATIVE,C+
TMU-1110,ENG,COMPULSORY,C+
TMU-1110,KIS,ALTERNATIVE,C+
TMU-1110,MATH101,COMPULSORY,C+
TMU-1110,COMP067,ALTERNATIVE,C+
TMU-1110,PHY,OPTIONAL,C
MSU-1116,ENG,COMPULSORY,C+
MSU-1116,KIS,ALTERNATIVE,C+
MSU-1116,MATH101,COMPULSORY,C+
MSU-1116,COMP067,ALTERNATIVE,C+
MSU-1116,PHY,OPTIONAL,C
UON-1117,ENG,COMPULSORY,C+
UON-1117,KIS,ALTERNATIVE,C+
UON-1117,MATH101,COMPULSORY,C+
UON-1117,BST,ALTERNATIVE,C+
UOE-1118,ENG,COMPULSORY,C+
UOE-1118,KIS,ALTERNATIVE,C+
UOE-1118,BIO,COMPULSORY,C+
UOE-1118,AGR,ALTERNATIVE,C+
UOE-1118,CHE,OPTIONAL,C
CHUKA-1124,ENG,COMPULSORY,C+
CHUKA-1124,KIS,ALTERNATIVE,C+
CHUKA-1124,BIO,COMPULSORY,C+
CHUKA-1124,AGR,ALTERNATIVE,C+
